id	target
519130	0.318
234045	0.026
401256	0.031
551070	0.054
367285	0.029
497998	0.089
413082	0.104
349893	0.033
346337	0.147
289979	0.042
510818	0.304
235935	0.093
532135	0.411
564760	0.015
277391	0.132
336830	0.374
356053	0.022
293302	0.112
322368	0.008
406041	0.029
569179	0.115
191405	0.042
489011	0.021
265952	0.265
193718	0.047
241961	0.161
522250	0.162
486617	0.274
563039	0.047
362649	0.023
339305	0.434
263778	0.129
224013	0.055
454138	0.074
459664	0.331
380168	0.025
442263	0.029
564916	0.21
552664	0.1
375516	0.151
259397	0.034
467064	0.095
202064	0.241
431603	0.05
540647	0.455
435816	0.082
501826	0.017
282874	0.092
491298	0.059
343207	0.116
247970	0.09
378911	0.058
183596	0.129
203517	0.177
391872	0.061
442383	0.026
271895	0.119
343358	0.014
378462	0.228
378961	0.055
382273	0.162
196833	0.193
342913	0.251
192035	0.017
404547	0.088
562742	0.069
240736	0.075
436997	0.016
575372	0.181
266796	0.059
357881	0.006
566114	0.053
245887	0.122
390833	0.032
200478	0.064
430776	0.178
313582	0.085
551951	0.041
160715	0.032
216636	0.1
277860	0.049
213799	0.392
194198	0.036
458754	0.131
252774	0.362
432242	0.053
453661	0.062
404340	0.198
450511	0.024
342654	0.009
491618	0.157
507637	0.121
148492	0.117
257402	0.017
478083	0.138
196865	0.257
561449	0.026
503440	0.077
388931	0.036
277533	0.027
565485	0.067
487646	0.037
353982	0.014
563991	0.189
559959	0.127
369250	0.083
152339	0.142
543473	0.015
554140	0.126
507895	0.02
437055	0.168
490329	0.136
157791	0.017
541068	0.238
494336	0.049
301032	0.159
220668	0.032
273520	0.12
337028	0.078
382313	0.086
459676	0.146
362850	0.028
242251	0.031
589665	0.073
501748	0.201
543682	0.011
569618	0.071
227436	0.357
395035	0.058
381676	0.245
389346	0.041
310208	0.045
284283	0.083
474817	0.329
341704	0.079
175291	0.029
213503	0.148
443460	0.286
475423	0.031
432541	0.046
265378	0.059
359758	0.057
166339	0.091
559607	0.253
439064	0.248
564243	0.158
283124	0.129
324991	0.045
277839	0.14
562618	0.338
288035	0.038
167025	0.024
468854	0.018
198237	0.031
559817	0.052
490131	0.072
299534	0.013
270124	0.264
547457	0.012
550631	0.116
348412	0.115
183842	0.095
309129	0.021
499649	0.012
312250	0.1
385084	0.284
452950	0.077
239203	0.185
229436	0.027
426046	0.056
499285	0.022
513259	0.026
405095	0.1
263847	0.187
455177	0.08
404983	0.11
414195	0.04
274077	0.25
527710	0.035
559487	0.018
521929	0.014
558381	0.039
487404	0.206
419384	0.294
569001	0.193
254337	0.024
564152	0.117
336536	0.116
402303	0.016
512293	0.201
213842	0.108
296873	0.14
588719	0.161
179128	0.046
314847	0.056
494129	0.019
434704	0.377
472292	0.092
335455	0.097
171457	0.059
484261	0.234
240222	0.079
577414	0.04
259778	0.119
508086	0.017
361955	0.211
572299	0.012
364512	0.061
553480	0.121
213864	0.239
262162	0.066
153013	0.051
535460	0.337
579005	0.06
461330	0.11
529662	0.069
356202	0.141
452470	0.038
270126	0.124
245794	0.06
160257	0.079
458364	0.252
203342	0.268
559455	0.15
287452	0.008
454939	0.012
377827	0.024
253432	0.043
453969	0.04
312906	0.033
427066	0.042
465614	0.107
516533	0.063
338592	0.026
563264	0.048
560537	0.04
441042	0.033
416306	0.061
198025	0.152
394528	0.032
351779	0.019
190561	0.23
491076	0.075
444631	0.061
168345	0.056
201515	0.168
452912	0.143
258486	0.15
590262	0.028
241240	0.018
307473	0.08
378554	0.028
175766	0.039
150991	0.088
275797	0.027
241427	0.051
369568	0.177
242005	0.133
298850	0.051
286652	0.036
439096	0.187
477314	0.054
420217	0.118
563839	0.259
374775	0.236
243493	0.155
239385	0.044
280361	0.133
474790	0.423
542649	0.045
447062	0.277
573568	0.137
291335	0.018
458231	0.069
234576	0.312
198172	0.109
514469	0.028
475131	0.102
358937	0.194
499412	0.408
360568	0.092
264343	0.178
370572	0.049
509201	0.122
176808	0.108
391772	0.118
165789	0.065
312049	0.27
383949	0.143
558741	0.032
381167	0.114
384255	0.013
281146	0.02
324261	0.084
329728	0.169
526646	0.242
382431	0.043
160338	0.029
529142	0.167
361800	0.04
367242	0.088
204045	0.013
201061	0.038
230981	0.058
456142	0.022
430913	0.298
344599	0.268
268132	0.029
569234	0.292
365546	0.101
311155	0.089
559124	0.128
372210	0.08
394363	0.018
391553	0.005
